RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,debt_to_income,total_late_payments,high_utilization,actual,predicted,probability,result_type
0.139880839,50,0,0.040355424,2700.0,13,0,0,0,3,108.9596448,0,0,0,0,0.21351954167173134,Hit (Good Payer)
0.002142796,68,0,0.050550747,5083.0,3,0,0,0,0,256.949447001,0,0,0,0,0.0804555879391987,Hit (Good Payer)
0.257870862,75,0,0.714535683,8000.0,11,0,2,0,0,5716.2854640000005,0,0,0,0,0.21778239309813718,Hit (Good Payer)
0.136147091,49,0,0.264091989,8000.0,10,0,2,0,2,2112.735912,0,0,0,0,0.1451967374045793,Hit (Good Payer)
0.011784253,88,0,0.001833028,6000.0,5,0,0,0,1,10.998168,0,0,0,0,0.07447078925590644,Hit (Good Payer)
0.240264297,66,1,0.662067586,5000.0,21,0,2,0,1,3310.33793,1,0,0,0,0.3906816449972708,Hit (Good Payer)
1.016146952,50,1,0.268802545,4400.0,9,0,0,0,1,1182.731198,1,1,0,1,0.7978363885638861,False Alarm
0.0,55,0,0.423380185,2916.0,7,0,2,0,0,1234.57661946,0,0,0,0,0.18291558771748165,Hit (Good Payer)
0.002857041,50,0,950.0,5400.0,8,0,1,0,0,5130000.0,0,0,0,0,0.08572244741241157,Hit (Good Payer)
0.908026472,43,0,0.898951138,3908.0,12,0,1,0,3,3513.101047304,0,1,0,1,0.6624108344271069,False Alarm
0.9999999,47,0,126.0,5400.0,0,0,0,0,2,680400.0,0,1,0,1,0.6463970701530605,False Alarm
0.0,46,0,0.0,5400.0,9,0,0,0,0,0.0,0,0,0,0,0.1443776421770497,Hit (Good Payer)
0.006993007,23,0,0.0,0.0,2,0,0,0,0,0.0,0,0,0,0,0.15169313406471882,Hit (Good Payer)
0.000913004,30,1,0.169932027,2500.0,7,0,0,0,0,424.8300675,1,0,0,0,0.4834925429064778,Hit (Good Payer)
0.064499152,83,0,0.012794882,2500.0,3,0,0,0,0,31.987205,0,0,0,0,0.07613012333714331,Hit (Good Payer)
0.0,55,0,0.212840944,6525.0,8,0,1,0,4,1388.7871596,0,0,0,0,0.11004645043355905,Hit (Good Payer)
0.279865277,41,0,0.614704088,9833.0,8,0,2,0,0,6044.385297304,0,0,0,0,0.2572215459482619,Hit (Good Payer)
0.073517389,47,0,35.0,5400.0,3,0,0,0,0,189000.0,0,0,0,0,0.09430957903104974,Hit (Good Payer)
0.21103727,73,0,0.346570397,3600.0,10,0,0,0,1,1247.6534292,0,0,0,0,0.2042631637196969,Hit (Good Payer)
0.019181951,71,0,0.080183963,5000.0,11,0,0,0,0,400.919815,0,0,0,0,0.09382682955000492,Hit (Good Payer)
0.019326551,74,0,1.505535055,541.0,16,0,1,0,0,814.494464755,0,0,0,0,0.171634290102173,Hit (Good Payer)
0.9999999,62,0,0.1040158,1518.0,3,0,0,0,0,157.8959844,0,1,0,0,0.4459976556287981,Hit (Good Payer)
0.800249688,25,0,0.008478358,2240.0,2,0,0,0,0,18.99152192,0,1,0,1,0.5283060654350734,False Alarm
0.007637424,70,0,0.012302285,2275.0,8,0,0,0,0,27.987698375,0,0,0,0,0.1120798361768058,Hit (Good Payer)
0.0,49,0,913.0,5400.0,5,0,1,0,0,4930200.0,0,0,0,0,0.08377548075368793,Hit (Good Payer)
0.012443753,81,0,0.001817631,3300.0,4,0,0,0,0,5.998182300000001,0,0,0,0,0.06431573363308069,Hit (Good Payer)
0.168523468,38,0,0.330087029,4825.0,11,0,2,0,1,1592.6699149249998,0,0,0,0,0.27692764751271837,Hit (Good Payer)
0.221014845,66,0,0.870319001,4325.0,18,0,2,0,0,3764.129679325,0,0,0,0,0.26263671851882225,Hit (Good Payer)
